row.names.df_params.	ModePrior_1	MAP_1	MaxL_1	MeanPost_1	VarPost_1	CVPost_1	MinPost_1	MaxPost_1	ModePrior_2	MAP_2	MaxL_2	MeanPost_2	VarPost_2	CVPost_2	MinPost_2	MaxPost_2	ModePrior_3	MAP_3	MaxL_3	MeanPost_3	VarPost_3	CVPost_3	MinPost_3	MaxPost_3	ModePrior_4	MAP_4	MaxL_4	MeanPost_4	VarPost_4	CVPost_4	MinPost_4	MaxPost_4	ModePrior_5	MAP_5	MaxL_5	MeanPost_5	VarPost_5	CVPost_5	MinPost_5	MaxPost_5	ModePrior_6	MAP_6	MaxL_6	MeanPost_6	VarPost_6	CVPost_6	MinPost_6	MaxPost_6	ModePrior_7	MAP_7	MaxL_7	MeanPost_7	VarPost_7	CVPost_7	MinPost_7	MaxPost_7	ModePrior_8	MAP_8	MaxL_8	MeanPost_8	VarPost_8	CVPost_8	MinPost_8	MaxPost_8	ModePrior_9	MAP_9	MaxL_9	MeanPost_9	VarPost_9	CVPost_9	MinPost_9	MaxPost_9
COCRESMX	0.275	0.2513	0.2668	0.2517	0.001424	0.1499	0.1218	0.2999	0.275	0.2513	0.2668	0.2517	0.001424	0.1499	0.1218	0.2999	0.275	0.2513	0.2668	0.2517	0.001424	0.1499	0.1218	0.2999	0.275	0.2513	0.2668	0.2517	0.001424	0.1499	0.1218	0.2999	0.275	0.2513	0.2668	0.2517	0.001424	0.1499	0.1218	0.2999	0.275	0.2513	0.2668	0.2517	0.001424	0.1499	0.1218	0.2999	0.275	0.2513	0.2668	0.2517	0.001424	0.1499	0.1218	0.2999	0.275	0.2513	0.2668	0.2517	0.001424	0.1499	0.1218	0.2999	0.275	0.2513	0.2668	0.2517	0.001424	0.1499	0.1218	0.2999
CSTAVM	0.1	0.05475	0.05335	0.1038	0.00127	0.3432	0.02551	0.1893	0.1	0.05475	0.05335	0.1038	0.00127	0.3432	0.02551	0.1893	0.1	0.05475	0.05335	0.1038	0.00127	0.3432	0.02551	0.1893	0.1	0.05475	0.05335	0.1038	0.00127	0.3432	0.02551	0.1893	0.1	0.05475	0.05335	0.1038	0.00127	0.3432	0.02551	0.1893	0.1	0.05475	0.05335	0.1038	0.00127	0.3432	0.02551	0.1893	0.1	0.05475	0.05335	0.1038	0.00127	0.3432	0.02551	0.1893	0.1	0.05475	0.05335	0.1038	0.00127	0.3432	0.02551	0.1893	0.1	0.05475	0.05335	0.1038	0.00127	0.3432	0.02551	0.1893
DAYLB	0.4	0.1805	0.2059	0.2611	0.01023	0.3874	0.02579	0.4985	0.4	0.1805	0.2059	0.2611	0.01023	0.3874	0.02579	0.4985	0.4	0.1805	0.2059	0.2611	0.01023	0.3874	0.02579	0.4985	0.4	0.1805	0.2059	0.2611	0.01023	0.3874	0.02579	0.4985	0.4	0.1805	0.2059	0.2611	0.01023	0.3874	0.02579	0.4985	0.4	0.1805	0.2059	0.2611	0.01023	0.3874	0.02579	0.4985	0.4	0.1805	0.2059	0.2611	0.01023	0.3874	0.02579	0.4985	0.4	0.1805	0.2059	0.2611	0.01023	0.3874	0.02579	0.4985	0.4	0.1805	0.2059	0.2611	0.01023	0.3874	0.02579	0.4985
DAYLP	0.55	0.7058	0.714	0.6433	0.004869	0.1085	0.5005	0.8063	0.55	0.7058	0.714	0.6433	0.004869	0.1085	0.5005	0.8063	0.55	0.7058	0.714	0.6433	0.004869	0.1085	0.5005	0.8063	0.55	0.7058	0.714	0.6433	0.004869	0.1085	0.5005	0.8063	0.55	0.7058	0.714	0.6433	0.004869	0.1085	0.5005	0.8063	0.55	0.7058	0.714	0.6433	0.004869	0.1085	0.5005	0.8063	0.55	0.7058	0.714	0.6433	0.004869	0.1085	0.5005	0.8063	0.55	0.7058	0.714	0.6433	0.004869	0.1085	0.5005	0.8063	0.55	0.7058	0.714	0.6433	0.004869	0.1085	0.5005	0.8063
DLMXGE	0.6	0.7753	0.7577	0.7554	0.004506	0.08886	0.5577	0.8929	0.6	0.7753	0.7577	0.7554	0.004506	0.08886	0.5577	0.8929	0.6	0.7753	0.7577	0.7554	0.004506	0.08886	0.5577	0.8929	0.6	0.7753	0.7577	0.7554	0.004506	0.08886	0.5577	0.8929	0.6	0.7753	0.7577	0.7554	0.004506	0.08886	0.5577	0.8929	0.6	0.7753	0.7577	0.7554	0.004506	0.08886	0.5577	0.8929	0.6	0.7753	0.7577	0.7554	0.004506	0.08886	0.5577	0.8929	0.6	0.7753	0.7577	0.7554	0.004506	0.08886	0.5577	0.8929	0.6	0.7753	0.7577	0.7554	0.004506	0.08886	0.5577	0.8929
FSLAMIN	0.5	0.6043	0.5774	0.5935	0.008092	0.1516	0.4071	0.8852	0.5	0.6043	0.5774	0.5935	0.008092	0.1516	0.4071	0.8852	0.5	0.6043	0.5774	0.5935	0.008092	0.1516	0.4071	0.8852	0.5	0.6043	0.5774	0.5935	0.008092	0.1516	0.4071	0.8852	0.5	0.6043	0.5774	0.5935	0.008092	0.1516	0.4071	0.8852	0.5	0.6043	0.5774	0.5935	0.008092	0.1516	0.4071	0.8852	0.5	0.6043	0.5774	0.5935	0.008092	0.1516	0.4071	0.8852	0.5	0.6043	0.5774	0.5935	0.008092	0.1516	0.4071	0.8852	0.5	0.6043	0.5774	0.5935	0.008092	0.1516	0.4071	0.8852
FSMAX	0.7	0.685	0.6848	0.6895	0.00103	0.04655	0.6081	0.7664	0.7	0.685	0.6848	0.6895	0.00103	0.04655	0.6081	0.7664	0.7	0.685	0.6848	0.6895	0.00103	0.04655	0.6081	0.7664	0.7	0.685	0.6848	0.6895	0.00103	0.04655	0.6081	0.7664	0.7	0.685	0.6848	0.6895	0.00103	0.04655	0.6081	0.7664	0.7	0.685	0.6848	0.6895	0.00103	0.04655	0.6081	0.7664	0.7	0.685	0.6848	0.6895	0.00103	0.04655	0.6081	0.7664	0.7	0.685	0.6848	0.6895	0.00103	0.04655	0.6081	0.7664	0.7	0.685	0.6848	0.6895	0.00103	0.04655	0.6081	0.7664
HAGERE	0.8	0.8596	0.8624	0.7825	0.002456	0.06334	0.6534	0.8954	0.8	0.8596	0.8624	0.7825	0.002456	0.06334	0.6534	0.8954	0.8	0.8596	0.8624	0.7825	0.002456	0.06334	0.6534	0.8954	0.8	0.8596	0.8624	0.7825	0.002456	0.06334	0.6534	0.8954	0.8	0.8596	0.8624	0.7825	0.002456	0.06334	0.6534	0.8954	0.8	0.8596	0.8624	0.7825	0.002456	0.06334	0.6534	0.8954	0.8	0.8596	0.8624	0.7825	0.002456	0.06334	0.6534	0.8954	0.8	0.8596	0.8624	0.7825	0.002456	0.06334	0.6534	0.8954	0.8	0.8596	0.8624	0.7825	0.002456	0.06334	0.6534	0.8954
KLAI	0.6	0.5619	0.5118	0.6926	0.009377	0.1398	0.4304	0.8772	0.6	0.5619	0.5118	0.6926	0.009377	0.1398	0.4304	0.8772	0.6	0.5619	0.5118	0.6926	0.009377	0.1398	0.4304	0.8772	0.6	0.5619	0.5118	0.6926	0.009377	0.1398	0.4304	0.8772	0.6	0.5619	0.5118	0.6926	0.009377	0.1398	0.4304	0.8772	0.6	0.5619	0.5118	0.6926	0.009377	0.1398	0.4304	0.8772	0.6	0.5619	0.5118	0.6926	0.009377	0.1398	0.4304	0.8772	0.6	0.5619	0.5118	0.6926	0.009377	0.1398	0.4304	0.8772	0.6	0.5619	0.5118	0.6926	0.009377	0.1398	0.4304	0.8772
LAICR	2.5	2.787	2.707	2.755	0.1007	0.1152	2.006	3.352	2.5	2.787	2.707	2.755	0.1007	0.1152	2.006	3.352	2.5	2.787	2.707	2.755	0.1007	0.1152	2.006	3.352	2.5	2.787	2.707	2.755	0.1007	0.1152	2.006	3.352	2.5	2.787	2.707	2.755	0.1007	0.1152	2.006	3.352	2.5	2.787	2.707	2.755	0.1007	0.1152	2.006	3.352	2.5	2.787	2.707	2.755	0.1007	0.1152	2.006	3.352	2.5	2.787	2.707	2.755	0.1007	0.1152	2.006	3.352	2.5	2.787	2.707	2.755	0.1007	0.1152	2.006	3.352
LAIEFT	0.183	0.1347	0.1387	0.2	0.001807	0.2126	0.1044	0.3145	0.183	0.1347	0.1387	0.2	0.001807	0.2126	0.1044	0.3145	0.183	0.1347	0.1387	0.2	0.001807	0.2126	0.1044	0.3145	0.183	0.1347	0.1387	0.2	0.001807	0.2126	0.1044	0.3145	0.183	0.1347	0.1387	0.2	0.001807	0.2126	0.1044	0.3145	0.183	0.1347	0.1387	0.2	0.001807	0.2126	0.1044	0.3145	0.183	0.1347	0.1387	0.2	0.001807	0.2126	0.1044	0.3145	0.183	0.1347	0.1387	0.2	0.001807	0.2126	0.1044	0.3145	0.183	0.1347	0.1387	0.2	0.001807	0.2126	0.1044	0.3145
LAITIL	0.867	0.8897	0.8954	0.8363	0.008441	0.1099	0.6148	0.9827	0.867	0.8897	0.8954	0.8363	0.008441	0.1099	0.6148	0.9827	0.867	0.8897	0.8954	0.8363	0.008441	0.1099	0.6148	0.9827	0.867	0.8897	0.8954	0.8363	0.008441	0.1099	0.6148	0.9827	0.867	0.8897	0.8954	0.8363	0.008441	0.1099	0.6148	0.9827	0.867	0.8897	0.8954	0.8363	0.008441	0.1099	0.6148	0.9827	0.867	0.8897	0.8954	0.8363	0.008441	0.1099	0.6148	0.9827	0.867	0.8897	0.8954	0.8363	0.008441	0.1099	0.6148	0.9827	0.867	0.8897	0.8954	0.8363	0.008441	0.1099	0.6148	0.9827
LFWIDG	0.003	0.006264	0.005697	0.00626	4.171e-06	0.3262	0.002122	0.0127	0.003	0.006264	0.005697	0.00626	4.171e-06	0.3262	0.002122	0.0127	0.003	0.006264	0.005697	0.00626	4.171e-06	0.3262	0.002122	0.0127	0.003	0.006264	0.005697	0.00626	4.171e-06	0.3262	0.002122	0.0127	0.003	0.006264	0.005697	0.00626	4.171e-06	0.3262	0.002122	0.0127	0.003	0.006264	0.005697	0.00626	4.171e-06	0.3262	0.002122	0.0127	0.003	0.006264	0.005697	0.00626	4.171e-06	0.3262	0.002122	0.0127	0.003	0.006264	0.005697	0.00626	4.171e-06	0.3262	0.002122	0.0127	0.003	0.006264	0.005697	0.00626	4.171e-06	0.3262	0.002122	0.0127
LFWIDV	0.003	0.002535	0.002395	0.00349	1.079e-06	0.2976	0.002151	0.007865	0.003	0.002535	0.002395	0.00349	1.079e-06	0.2976	0.002151	0.007865	0.003	0.002535	0.002395	0.00349	1.079e-06	0.2976	0.002151	0.007865	0.003	0.002535	0.002395	0.00349	1.079e-06	0.2976	0.002151	0.007865	0.003	0.002535	0.002395	0.00349	1.079e-06	0.2976	0.002151	0.007865	0.003	0.002535	0.002395	0.00349	1.079e-06	0.2976	0.002151	0.007865	0.003	0.002535	0.002395	0.00349	1.079e-06	0.2976	0.002151	0.007865	0.003	0.002535	0.002395	0.00349	1.079e-06	0.2976	0.002151	0.007865	0.003	0.002535	0.002395	0.00349	1.079e-06	0.2976	0.002151	0.007865
NELLVM	1.3	1.3	1.3	1.3	0	0	1.3	1.3	1.3	1.3	1.3	1.3	0	0	1.3	1.3	1.3	1.3	1.3	1.3	0	0	1.3	1.3	1.3	1.3	1.3	1.3	0	0	1.3	1.3	1.3	1.3	1.3	1.3	0	0	1.3	1.3	1.3	1.3	1.3	1.3	0	0	1.3	1.3	1.3	1.3	1.3	1.3	0	0	1.3	1.3	1.3	1.3	1.3	1.3	0	0	1.3	1.3	1.3	1.3	1.3	1.3	0	0	1.3	1.3
PHENCR	0.6	0.2872	0.2904	0.574	0.02612	0.2816	0.2146	0.9555	0.6	0.2872	0.2904	0.574	0.02612	0.2816	0.2146	0.9555	0.6	0.2872	0.2904	0.574	0.02612	0.2816	0.2146	0.9555	0.6	0.2872	0.2904	0.574	0.02612	0.2816	0.2146	0.9555	0.6	0.2872	0.2904	0.574	0.02612	0.2816	0.2146	0.9555	0.6	0.2872	0.2904	0.574	0.02612	0.2816	0.2146	0.9555	0.6	0.2872	0.2904	0.574	0.02612	0.2816	0.2146	0.9555	0.6	0.2872	0.2904	0.574	0.02612	0.2816	0.2146	0.9555	0.6	0.2872	0.2904	0.574	0.02612	0.2816	0.2146	0.9555
PHY	100	124.5	127.9	108.8	124.1	0.1023	68.84	129.6	100	124.5	127.9	108.8	124.1	0.1023	68.84	129.6	100	124.5	127.9	108.8	124.1	0.1023	68.84	129.6	100	124.5	127.9	108.8	124.1	0.1023	68.84	129.6	100	124.5	127.9	108.8	124.1	0.1023	68.84	129.6	100	124.5	127.9	108.8	124.1	0.1023	68.84	129.6	100	124.5	127.9	108.8	124.1	0.1023	68.84	129.6	100	124.5	127.9	108.8	124.1	0.1023	68.84	129.6	100	124.5	127.9	108.8	124.1	0.1023	68.84	129.6
RDRSCO	0.03	0.06584	0.06342	0.06151	0.001245	0.5736	0.01047	0.1325	0.03	0.06584	0.06342	0.06151	0.001245	0.5736	0.01047	0.1325	0.03	0.06584	0.06342	0.06151	0.001245	0.5736	0.01047	0.1325	0.03	0.06584	0.06342	0.06151	0.001245	0.5736	0.01047	0.1325	0.03	0.06584	0.06342	0.06151	0.001245	0.5736	0.01047	0.1325	0.03	0.06584	0.06342	0.06151	0.001245	0.5736	0.01047	0.1325	0.03	0.06584	0.06342	0.06151	0.001245	0.5736	0.01047	0.1325	0.03	0.06584	0.06342	0.06151	0.001245	0.5736	0.01047	0.1325	0.03	0.06584	0.06342	0.06151	0.001245	0.5736	0.01047	0.1325
RDRSMX	0.09	0.0848	0.08506	0.09325	0.0005277	0.2464	0.03825	0.1472	0.09	0.0848	0.08506	0.09325	0.0005277	0.2464	0.03825	0.1472	0.09	0.0848	0.08506	0.09325	0.0005277	0.2464	0.03825	0.1472	0.09	0.0848	0.08506	0.09325	0.0005277	0.2464	0.03825	0.1472	0.09	0.0848	0.08506	0.09325	0.0005277	0.2464	0.03825	0.1472	0.09	0.0848	0.08506	0.09325	0.0005277	0.2464	0.03825	0.1472	0.09	0.0848	0.08506	0.09325	0.0005277	0.2464	0.03825	0.1472	0.09	0.0848	0.08506	0.09325	0.0005277	0.2464	0.03825	0.1472	0.09	0.0848	0.08506	0.09325	0.0005277	0.2464	0.03825	0.1472
RDRTEM	0.001	0.001289	0.001276	0.00113	6.594e-08	0.2272	0.000573	0.001701	0.001	0.001289	0.001276	0.00113	6.594e-08	0.2272	0.000573	0.001701	0.001	0.001289	0.001276	0.00113	6.594e-08	0.2272	0.000573	0.001701	0.001	0.001289	0.001276	0.00113	6.594e-08	0.2272	0.000573	0.001701	0.001	0.001289	0.001276	0.00113	6.594e-08	0.2272	0.000573	0.001701	0.001	0.001289	0.001276	0.00113	6.594e-08	0.2272	0.000573	0.001701	0.001	0.001289	0.001276	0.00113	6.594e-08	0.2272	0.000573	0.001701	0.001	0.001289	0.001276	0.00113	6.594e-08	0.2272	0.000573	0.001701	0.001	0.001289	0.001276	0.00113	6.594e-08	0.2272	0.000573	0.001701
RGENMX	0.01	0.01658	0.01577	0.01328	7.352e-06	0.2042	0.00462	0.01922	0.01	0.01658	0.01577	0.01328	7.352e-06	0.2042	0.00462	0.01922	0.01	0.01658	0.01577	0.01328	7.352e-06	0.2042	0.00462	0.01922	0.01	0.01658	0.01577	0.01328	7.352e-06	0.2042	0.00462	0.01922	0.01	0.01658	0.01577	0.01328	7.352e-06	0.2042	0.00462	0.01922	0.01	0.01658	0.01577	0.01328	7.352e-06	0.2042	0.00462	0.01922	0.01	0.01658	0.01577	0.01328	7.352e-06	0.2042	0.00462	0.01922	0.01	0.01658	0.01577	0.01328	7.352e-06	0.2042	0.00462	0.01922	0.01	0.01658	0.01577	0.01328	7.352e-06	0.2042	0.00462	0.01922
ROOTDM	0.2	0.3287	0.3677	0.2777	0.002622	0.1844	0.1193	0.3917	0.2	0.3287	0.3677	0.2777	0.002622	0.1844	0.1193	0.3917	0.2	0.3287	0.3677	0.2777	0.002622	0.1844	0.1193	0.3917	0.2	0.3901	0.3882	0.4228	0.002505	0.1184	0.1322	0.5497	0.2	0.3901	0.3882	0.4228	0.002505	0.1184	0.1322	0.5497	0.2	0.3901	0.3882	0.4228	0.002505	0.1184	0.1322	0.5497	0.2	0.4588	0.4744	0.4303	0.003925	0.1456	0.1187	0.5653	0.2	0.4588	0.4744	0.4303	0.003925	0.1456	0.1187	0.5653	0.2	0.4588	0.4744	0.4303	0.003925	0.1456	0.1187	0.5653
RRDMAX	0.0101	0.0101	0.0101	0.0101	0	0	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0	0	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0	0	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0	0	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0	0	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0	0	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0	0	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0	0	0.0101	0.0101	0.0101	0.0101	0.0101	0.0101	0	0	0.0101	0.0101
RUBISC	2.7	7.134	7.196	5.297	2.19	0.2794	1.478	7.993	2.7	7.134	7.196	5.297	2.19	0.2794	1.478	7.993	2.7	7.134	7.196	5.297	2.19	0.2794	1.478	7.993	2.7	7.134	7.196	5.297	2.19	0.2794	1.478	7.993	2.7	7.134	7.196	5.297	2.19	0.2794	1.478	7.993	2.7	7.134	7.196	5.297	2.19	0.2794	1.478	7.993	2.7	7.134	7.196	5.297	2.19	0.2794	1.478	7.993	2.7	7.134	7.196	5.297	2.19	0.2794	1.478	7.993	2.7	7.134	7.196	5.297	2.19	0.2794	1.478	7.993
LSHAPE	0.6	0.6	0.6	0.6	0	0	0.6	0.6	0.6	0.6	0.6	0.6	0	0	0.6	0.6	0.6	0.6	0.6	0.6	0	0	0.6	0.6	0.6	0.6	0.6	0.6	0	0	0.6	0.6	0.6	0.6	0.6	0.6	0	0	0.6	0.6	0.6	0.6	0.6	0.6	0	0	0.6	0.6	0.6	0.6	0.6	0.6	0	0	0.6	0.6	0.6	0.6	0.6	0.6	0	0	0.6	0.6	0.6	0.6	0.6	0.6	0	0	0.6	0.6
SIMAX1T	0.004	0.002219	0.002116	0.003122	7.579e-07	0.2789	0.002011	0.005815	0.004	0.002219	0.002116	0.003122	7.579e-07	0.2789	0.002011	0.005815	0.004	0.002219	0.002116	0.003122	7.579e-07	0.2789	0.002011	0.005815	0.004	0.002219	0.002116	0.003122	7.579e-07	0.2789	0.002011	0.005815	0.004	0.002219	0.002116	0.003122	7.579e-07	0.2789	0.002011	0.005815	0.004	0.002219	0.002116	0.003122	7.579e-07	0.2789	0.002011	0.005815	0.004	0.002219	0.002116	0.003122	7.579e-07	0.2789	0.002011	0.005815	0.004	0.002219	0.002116	0.003122	7.579e-07	0.2789	0.002011	0.005815	0.004	0.002219	0.002116	0.003122	7.579e-07	0.2789	0.002011	0.005815
SLAMAX	0.03	0.02967	0.02924	0.03198	7.627e-06	0.08637	0.02347	0.03968	0.03	0.02967	0.02924	0.03198	7.627e-06	0.08637	0.02347	0.03968	0.03	0.02967	0.02924	0.03198	7.627e-06	0.08637	0.02347	0.03968	0.03	0.02967	0.02924	0.03198	7.627e-06	0.08637	0.02347	0.03968	0.03	0.02967	0.02924	0.03198	7.627e-06	0.08637	0.02347	0.03968	0.03	0.02967	0.02924	0.03198	7.627e-06	0.08637	0.02347	0.03968	0.03	0.02967	0.02924	0.03198	7.627e-06	0.08637	0.02347	0.03968	0.03	0.02967	0.02924	0.03198	7.627e-06	0.08637	0.02347	0.03968	0.03	0.02967	0.02924	0.03198	7.627e-06	0.08637	0.02347	0.03968
TBASE	4.5	3.33	3.239	4.219	0.5396	0.1741	2.396	5.774	4.5	3.33	3.239	4.219	0.5396	0.1741	2.396	5.774	4.5	3.33	3.239	4.219	0.5396	0.1741	2.396	5.774	4.5	3.33	3.239	4.219	0.5396	0.1741	2.396	5.774	4.5	3.33	3.239	4.219	0.5396	0.1741	2.396	5.774	4.5	3.33	3.239	4.219	0.5396	0.1741	2.396	5.774	4.5	3.33	3.239	4.219	0.5396	0.1741	2.396	5.774	4.5	3.33	3.239	4.219	0.5396	0.1741	2.396	5.774	4.5	3.33	3.239	4.219	0.5396	0.1741	2.396	5.774
TCRES	2	1.857	1.906	2.173	0.2579	0.2337	1.503	3.722	2	1.857	1.906	2.173	0.2579	0.2337	1.503	3.722	2	1.857	1.906	2.173	0.2579	0.2337	1.503	3.722	2	1.857	1.906	2.173	0.2579	0.2337	1.503	3.722	2	1.857	1.906	2.173	0.2579	0.2337	1.503	3.722	2	1.857	1.906	2.173	0.2579	0.2337	1.503	3.722	2	1.857	1.906	2.173	0.2579	0.2337	1.503	3.722	2	1.857	1.906	2.173	0.2579	0.2337	1.503	3.722	2	1.857	1.906	2.173	0.2579	0.2337	1.503	3.722
TOPTGE	22	23.01	22.77	21.78	4.871	0.1013	15.68	27.37	22	23.01	22.77	21.78	4.871	0.1013	15.68	27.37	22	23.01	22.77	21.78	4.871	0.1013	15.68	27.37	22	23.01	22.77	21.78	4.871	0.1013	15.68	27.37	22	23.01	22.77	21.78	4.871	0.1013	15.68	27.37	22	23.01	22.77	21.78	4.871	0.1013	15.68	27.37	22	23.01	22.77	21.78	4.871	0.1013	15.68	27.37	22	23.01	22.77	21.78	4.871	0.1013	15.68	27.37	22	23.01	22.77	21.78	4.871	0.1013	15.68	27.37
TRANCO	8	8.879	9.622	8.244	2.4	0.1879	4.278	12.37	8	8.879	9.622	8.244	2.4	0.1879	4.278	12.37	8	8.879	9.622	8.244	2.4	0.1879	4.278	12.37	8	8.879	9.622	8.244	2.4	0.1879	4.278	12.37	8	8.879	9.622	8.244	2.4	0.1879	4.278	12.37	8	8.879	9.622	8.244	2.4	0.1879	4.278	12.37	8	8.879	9.622	8.244	2.4	0.1879	4.278	12.37	8	8.879	9.622	8.244	2.4	0.1879	4.278	12.37	8	8.879	9.622	8.244	2.4	0.1879	4.278	12.37
